week_ending,all_race_ethnicity,Asian_Pacific_Islander,Black_African_American,Hispanic_Latino,White
03/08/2025,2.32,1.21,3.15,2.79,1.23
03/15/2025,2.66,1.54,3.25,3.04,1.76
03/22/2025,2.78,1.78,4.16,2.79,1.67
03/29/2025,3.13,1.64,4.5,3.06,2.09
04/05/2025,3.06,1.86,3.95,3.17,1.98
04/12/2025,2.49,1.49,3.46,2.33,1.68
04/19/2025,2.48,1.5,2.91,2.2,2.07
04/26/2025,2,0.89,2.63,1.67,1.47
05/03/2025,1.91,0.78,2.06,1.66,1.74
05/10/2025,1.39,1.17,1.94,1.09,0.97
05/17/2025,1.34,1.27,1.45,1.32,0.91
05/24/2025,0.94,0.68,1.28,0.61,0.76
05/31/2025,,0.41,,0.36,0.37
